scope,pair,marker,n,mean,ci_lo,ci_hi
overall,ALL,emotional_expression_uniqueness,8,0.875,0.78125,0.96875
overall,ALL,comfort_style_uniqueness,8,0.6875,0.5625,0.875
overall,ALL,burden_response_uniqueness,8,0.6875,0.5625,0.875
overall,ALL,human_aftertaste_score,8,0.87625,0.7525,0.95875
overall,ALL,echo_similarity_penalty,8,0.04375,0.01375,0.07750000000000001
overall,ALL,stage_direction_leak_penalty,8,0.0,0.0,0.0
overall,ALL,attention_shift,8,0.4375,0.3375,0.54375
overall,ALL,behavior_signal,8,0.5625,0.3125,0.8125
overall,ALL,echo_penalty,8,0.0,0.0,0.0
overall,ALL,emotion_behavior_link,8,0.755,0.6950000000000001,0.8062499999999999
overall,ALL,emotion_tone_link,8,0.73125,0.6224999999999999,0.8300000000000001
overall,ALL,emotional_slogan_penalty,8,0.0,0.0,0.0
overall,ALL,greeting_boilerplate_penalty,8,0.0,0.0,0.0
overall,ALL,ichinose_debt,8,0.75,0.5625,0.9375
overall,ALL,imperfect_response_style,8,0.70875,0.54,0.87625
overall,ALL,indirectness,8,0.21999999999999997,0.07375000000000001,0.39499999999999996
overall,ALL,lifecycle_flow,8,0.8374999999999999,0.74,0.9475
overall,ALL,memory_continuity,8,0.57875,0.50625,0.68125
overall,ALL,memory_residue,8,0.8125,0.625,0.9375
overall,ALL,other_awareness,8,0.8125,0.625,0.9375
overall,ALL,over_articulation_penalty,8,0.0,0.0,0.0
overall,ALL,over_labeling_penalty,8,0.0,0.0,0.0
overall,ALL,over_system_penalty,8,0.0625,0.0,0.1875
overall,ALL,private_self,8,0.375,0.1875,0.625
overall,ALL,relationship_residue,8,0.85625,0.76875,0.9
overall,ALL,role_escape_penalty,8,0.0,0.0,0.0
overall,ALL,template_penalty,8,0.0,0.0,0.0
overall,ALL,therapy_empathy_penalty,8,0.0,0.0,0.0
overall,ALL,tianze_pressure,8,0.625,0.5,0.8125
overall,ALL,umi_alan_anchor,8,0.5625,0.5,0.6875
per_pair,一之瀨-天澤,emotional_expression_uniqueness,2,0.75,0.75,0.75
per_pair,一之瀨-天澤,comfort_style_uniqueness,2,0.75,0.5,1.0
per_pair,一之瀨-天澤,burden_response_uniqueness,2,0.5,0.5,0.5
per_pair,一之瀨-天澤,human_aftertaste_score,2,0.67,0.67,0.67
per_pair,一之瀨-天澤,echo_similarity_penalty,2,0.065,0.0,0.13
per_pair,一之瀨-天澤,stage_direction_leak_penalty,2,0.0,0.0,0.0
per_pair,一之瀨-天澤,attention_shift,2,0.41500000000000004,0.33,0.5
per_pair,一之瀨-天澤,behavior_signal,2,0.0,0.0,0.0
per_pair,一之瀨-天澤,echo_penalty,2,0.0,0.0,0.0
per_pair,一之瀨-天澤,emotion_behavior_link,2,0.6799999999999999,0.58,0.78
per_pair,一之瀨-天澤,emotion_tone_link,2,0.615,0.45,0.78
per_pair,一之瀨-天澤,emotional_slogan_penalty,2,0.0,0.0,0.0
per_pair,一之瀨-天澤,greeting_boilerplate_penalty,2,0.0,0.0,0.0
per_pair,一之瀨-天澤,ichinose_debt,2,1.0,1.0,1.0
per_pair,一之瀨-天澤,imperfect_response_style,2,0.665,0.33,1.0
per_pair,一之瀨-天澤,indirectness,2,0.515,0.33,0.7
per_pair,一之瀨-天澤,lifecycle_flow,2,0.6599999999999999,0.6,0.72
per_pair,一之瀨-天澤,memory_continuity,2,0.525,0.5,0.55
per_pair,一之瀨-天澤,memory_residue,2,0.5,0.5,0.5
per_pair,一之瀨-天澤,other_awareness,2,0.75,0.5,1.0
per_pair,一之瀨-天澤,over_articulation_penalty,2,0.0,0.0,0.0
per_pair,一之瀨-天澤,over_labeling_penalty,2,0.0,0.0,0.0
per_pair,一之瀨-天澤,over_system_penalty,2,0.0,0.0,0.0
per_pair,一之瀨-天澤,private_self,2,0.0,0.0,0.0
per_pair,一之瀨-天澤,relationship_residue,2,0.9,0.9,0.9
per_pair,一之瀨-天澤,role_escape_penalty,2,0.0,0.0,0.0
per_pair,一之瀨-天澤,template_penalty,2,0.0,0.0,0.0
per_pair,一之瀨-天澤,therapy_empathy_penalty,2,0.0,0.0,0.0
per_pair,一之瀨-天澤,tianze_pressure,2,0.5,0.5,0.5
per_pair,一之瀨-天澤,umi_alan_anchor,2,0.5,0.5,0.5
per_pair,一之瀨-海,emotional_expression_uniqueness,1,1.0,1.0,1.0
per_pair,一之瀨-海,comfort_style_uniqueness,1,1.0,1.0,1.0
per_pair,一之瀨-海,burden_response_uniqueness,1,1.0,1.0,1.0
per_pair,一之瀨-海,human_aftertaste_score,1,1.0,1.0,1.0
per_pair,一之瀨-海,echo_similarity_penalty,1,0.03,0.03,0.03
per_pair,一之瀨-海,stage_direction_leak_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-海,attention_shift,1,0.5,0.5,0.5
per_pair,一之瀨-海,behavior_signal,1,0.5,0.5,0.5
per_pair,一之瀨-海,echo_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-海,emotion_behavior_link,1,0.85,0.85,0.85
per_pair,一之瀨-海,emotion_tone_link,1,0.9,0.9,0.9
per_pair,一之瀨-海,emotional_slogan_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-海,greeting_boilerplate_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-海,ichinose_debt,1,1.0,1.0,1.0
per_pair,一之瀨-海,imperfect_response_style,1,0.67,0.67,0.67
per_pair,一之瀨-海,indirectness,1,0.0,0.0,0.0
per_pair,一之瀨-海,lifecycle_flow,1,0.98,0.98,0.98
per_pair,一之瀨-海,memory_continuity,1,0.5,0.5,0.5
per_pair,一之瀨-海,memory_residue,1,0.5,0.5,0.5
per_pair,一之瀨-海,other_awareness,1,0.5,0.5,0.5
per_pair,一之瀨-海,over_articulation_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-海,over_labeling_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-海,over_system_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-海,private_self,1,1.0,1.0,1.0
per_pair,一之瀨-海,relationship_residue,1,0.55,0.55,0.55
per_pair,一之瀨-海,role_escape_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-海,template_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-海,therapy_empathy_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-海,tianze_pressure,1,0.5,0.5,0.5
per_pair,一之瀨-海,umi_alan_anchor,1,1.0,1.0,1.0
per_pair,一之瀨-真晝,emotional_expression_uniqueness,1,1.0,1.0,1.0
per_pair,一之瀨-真晝,comfort_style_uniqueness,1,1.0,1.0,1.0
per_pair,一之瀨-真晝,burden_response_uniqueness,1,1.0,1.0,1.0
per_pair,一之瀨-真晝,human_aftertaste_score,1,1.0,1.0,1.0
per_pair,一之瀨-真晝,echo_similarity_penalty,1,0.09,0.09,0.09
per_pair,一之瀨-真晝,stage_direction_leak_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-真晝,attention_shift,1,0.63,0.63,0.63
per_pair,一之瀨-真晝,behavior_signal,1,1.0,1.0,1.0
per_pair,一之瀨-真晝,echo_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-真晝,emotion_behavior_link,1,0.85,0.85,0.85
per_pair,一之瀨-真晝,emotion_tone_link,1,0.9,0.9,0.9
per_pair,一之瀨-真晝,emotional_slogan_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-真晝,greeting_boilerplate_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-真晝,ichinose_debt,1,1.0,1.0,1.0
per_pair,一之瀨-真晝,imperfect_response_style,1,0.67,0.67,0.67
per_pair,一之瀨-真晝,indirectness,1,0.13,0.13,0.13
per_pair,一之瀨-真晝,lifecycle_flow,1,0.74,0.74,0.74
per_pair,一之瀨-真晝,memory_continuity,1,0.5,0.5,0.5
per_pair,一之瀨-真晝,memory_residue,1,1.0,1.0,1.0
per_pair,一之瀨-真晝,other_awareness,1,0.5,0.5,0.5
per_pair,一之瀨-真晝,over_articulation_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-真晝,over_labeling_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-真晝,over_system_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-真晝,private_self,1,0.5,0.5,0.5
per_pair,一之瀨-真晝,relationship_residue,1,0.9,0.9,0.9
per_pair,一之瀨-真晝,role_escape_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-真晝,template_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-真晝,therapy_empathy_penalty,1,0.0,0.0,0.0
per_pair,一之瀨-真晝,tianze_pressure,1,0.5,0.5,0.5
per_pair,一之瀨-真晝,umi_alan_anchor,1,0.5,0.5,0.5
per_pair,天澤-海,emotional_expression_uniqueness,2,1.0,1.0,1.0
per_pair,天澤-海,comfort_style_uniqueness,2,0.5,0.5,0.5
per_pair,天澤-海,burden_response_uniqueness,2,0.75,0.5,1.0
per_pair,天澤-海,human_aftertaste_score,2,0.835,0.67,1.0
per_pair,天澤-海,echo_similarity_penalty,2,0.01,0.0,0.02
per_pair,天澤-海,stage_direction_leak_penalty,2,0.0,0.0,0.0
per_pair,天澤-海,attention_shift,2,0.48,0.29,0.67
per_pair,天澤-海,behavior_signal,2,0.5,0.5,0.5
per_pair,天澤-海,echo_penalty,2,0.0,0.0,0.0
per_pair,天澤-海,emotion_behavior_link,2,0.78,0.78,0.78
per_pair,天澤-海,emotion_tone_link,2,0.75,0.62,0.88
per_pair,天澤-海,emotional_slogan_penalty,2,0.0,0.0,0.0
per_pair,天澤-海,greeting_boilerplate_penalty,2,0.0,0.0,0.0
per_pair,天澤-海,ichinose_debt,2,0.5,0.5,0.5
per_pair,天澤-海,imperfect_response_style,2,1.0,1.0,1.0
per_pair,天澤-海,indirectness,2,0.215,0.0,0.43
per_pair,天澤-海,lifecycle_flow,2,0.98,0.98,0.98
per_pair,天澤-海,memory_continuity,2,0.645,0.5,0.79
per_pair,天澤-海,memory_residue,2,1.0,1.0,1.0
per_pair,天澤-海,other_awareness,2,1.0,1.0,1.0
per_pair,天澤-海,over_articulation_penalty,2,0.0,0.0,0.0
per_pair,天澤-海,over_labeling_penalty,2,0.0,0.0,0.0
per_pair,天澤-海,over_system_penalty,2,0.25,0.0,0.5
per_pair,天澤-海,private_self,2,0.5,0.5,0.5
per_pair,天澤-海,relationship_residue,2,0.9,0.9,0.9
per_pair,天澤-海,role_escape_penalty,2,0.0,0.0,0.0
per_pair,天澤-海,template_penalty,2,0.0,0.0,0.0
per_pair,天澤-海,therapy_empathy_penalty,2,0.0,0.0,0.0
per_pair,天澤-海,tianze_pressure,2,1.0,1.0,1.0
per_pair,天澤-海,umi_alan_anchor,2,0.5,0.5,0.5
per_pair,海-真晝,emotional_expression_uniqueness,2,0.75,0.75,0.75
per_pair,海-真晝,comfort_style_uniqueness,2,0.5,0.5,0.5
per_pair,海-真晝,burden_response_uniqueness,2,0.5,0.5,0.5
per_pair,海-真晝,human_aftertaste_score,2,1.0,1.0,1.0
per_pair,海-真晝,echo_similarity_penalty,2,0.04,0.0,0.08
per_pair,海-真晝,stage_direction_leak_penalty,2,0.0,0.0,0.0
per_pair,海-真晝,attention_shift,2,0.29000000000000004,0.25,0.33
per_pair,海-真晝,behavior_signal,2,1.0,1.0,1.0
per_pair,海-真晝,echo_penalty,2,0.0,0.0,0.0
per_pair,海-真晝,emotion_behavior_link,2,0.71,0.71,0.71
per_pair,海-真晝,emotion_tone_link,2,0.6599999999999999,0.62,0.7
per_pair,海-真晝,emotional_slogan_penalty,2,0.0,0.0,0.0
per_pair,海-真晝,greeting_boilerplate_penalty,2,0.0,0.0,0.0
per_pair,海-真晝,ichinose_debt,2,0.5,0.5,0.5
per_pair,海-真晝,imperfect_response_style,2,0.5,0.33,0.67
per_pair,海-真晝,indirectness,2,0.085,0.0,0.17
per_pair,海-真晝,lifecycle_flow,2,0.85,0.72,0.98
per_pair,海-真晝,memory_continuity,2,0.645,0.5,0.79
per_pair,海-真晝,memory_residue,2,1.0,1.0,1.0
per_pair,海-真晝,other_awareness,2,1.0,1.0,1.0
per_pair,海-真晝,over_articulation_penalty,2,0.0,0.0,0.0
per_pair,海-真晝,over_labeling_penalty,2,0.0,0.0,0.0
per_pair,海-真晝,over_system_penalty,2,0.0,0.0,0.0
per_pair,海-真晝,private_self,2,0.25,0.0,0.5
per_pair,海-真晝,relationship_residue,2,0.9,0.9,0.9
per_pair,海-真晝,role_escape_penalty,2,0.0,0.0,0.0
per_pair,海-真晝,template_penalty,2,0.0,0.0,0.0
per_pair,海-真晝,therapy_empathy_penalty,2,0.0,0.0,0.0
per_pair,海-真晝,tianze_pressure,2,0.5,0.5,0.5
per_pair,海-真晝,umi_alan_anchor,2,0.5,0.5,0.5
