scope,pair,marker,n,mean,ci_lo,ci_hi
overall,ALL,emotional_expression_uniqueness,4,0.9375,0.8125,1.0
overall,ALL,comfort_style_uniqueness,4,0.625,0.5,0.875
overall,ALL,burden_response_uniqueness,4,0.875,0.625,1.0
overall,ALL,human_aftertaste_score,4,1.0,1.0,1.0
overall,ALL,echo_similarity_penalty,4,0.075,0.0275,0.12
overall,ALL,stage_direction_leak_penalty,4,0.0,0.0,0.0
overall,ALL,attention_shift,4,0.315,0.25,0.38
overall,ALL,behavior_signal,4,0.5,0.0,1.0
overall,ALL,echo_penalty,4,0.0,0.0,0.0
overall,ALL,emotion_behavior_link,4,0.7125,0.6299999999999999,0.78
overall,ALL,emotion_tone_link,4,0.855,0.7649999999999999,0.9
overall,ALL,emotional_slogan_penalty,4,0.0,0.0,0.0
overall,ALL,greeting_boilerplate_penalty,4,0.0,0.0,0.0
overall,ALL,ichinose_debt,4,0.5,0.5,0.5
overall,ALL,imperfect_response_style,4,0.9175,0.7525,1.0
overall,ALL,indirectness,4,0.7,0.7,0.7
overall,ALL,lifecycle_flow,4,0.915,0.7849999999999999,0.98
overall,ALL,memory_continuity,4,0.5,0.5,0.5
overall,ALL,memory_residue,4,0.75,0.5,1.0
overall,ALL,other_awareness,4,1.0,1.0,1.0
overall,ALL,over_articulation_penalty,4,0.0,0.0,0.0
overall,ALL,over_labeling_penalty,4,0.06,0.0,0.18
overall,ALL,over_system_penalty,4,0.0,0.0,0.0
overall,ALL,private_self,4,0.75,0.5,1.0
overall,ALL,relationship_residue,4,0.8125,0.6375,0.9
overall,ALL,role_escape_penalty,4,0.0,0.0,0.0
overall,ALL,template_penalty,4,0.0,0.0,0.0
overall,ALL,therapy_empathy_penalty,4,0.0,0.0,0.0
overall,ALL,tianze_pressure,4,0.5,0.5,0.5
overall,ALL,umi_alan_anchor,4,0.75,0.5,1.0
per_pair,海-真晝,emotional_expression_uniqueness,4,0.9375,0.8125,1.0
per_pair,海-真晝,comfort_style_uniqueness,4,0.625,0.5,0.875
per_pair,海-真晝,burden_response_uniqueness,4,0.875,0.625,1.0
per_pair,海-真晝,human_aftertaste_score,4,1.0,1.0,1.0
per_pair,海-真晝,echo_similarity_penalty,4,0.075,0.0275,0.12
per_pair,海-真晝,stage_direction_leak_penalty,4,0.0,0.0,0.0
per_pair,海-真晝,attention_shift,4,0.315,0.25,0.38
per_pair,海-真晝,behavior_signal,4,0.5,0.0,1.0
per_pair,海-真晝,echo_penalty,4,0.0,0.0,0.0
per_pair,海-真晝,emotion_behavior_link,4,0.7125,0.6299999999999999,0.78
per_pair,海-真晝,emotion_tone_link,4,0.855,0.7649999999999999,0.9
per_pair,海-真晝,emotional_slogan_penalty,4,0.0,0.0,0.0
per_pair,海-真晝,greeting_boilerplate_penalty,4,0.0,0.0,0.0
per_pair,海-真晝,ichinose_debt,4,0.5,0.5,0.5
per_pair,海-真晝,imperfect_response_style,4,0.9175,0.7525,1.0
per_pair,海-真晝,indirectness,4,0.7,0.7,0.7
per_pair,海-真晝,lifecycle_flow,4,0.915,0.7849999999999999,0.98
per_pair,海-真晝,memory_continuity,4,0.5,0.5,0.5
per_pair,海-真晝,memory_residue,4,0.75,0.5,1.0
per_pair,海-真晝,other_awareness,4,1.0,1.0,1.0
per_pair,海-真晝,over_articulation_penalty,4,0.0,0.0,0.0
per_pair,海-真晝,over_labeling_penalty,4,0.06,0.0,0.18
per_pair,海-真晝,over_system_penalty,4,0.0,0.0,0.0
per_pair,海-真晝,private_self,4,0.75,0.5,1.0
per_pair,海-真晝,relationship_residue,4,0.8125,0.6375,0.9
per_pair,海-真晝,role_escape_penalty,4,0.0,0.0,0.0
per_pair,海-真晝,template_penalty,4,0.0,0.0,0.0
per_pair,海-真晝,therapy_empathy_penalty,4,0.0,0.0,0.0
per_pair,海-真晝,tianze_pressure,4,0.5,0.5,0.5
per_pair,海-真晝,umi_alan_anchor,4,0.75,0.5,1.0
