n_per_arm_nominal,baseline_callback_rate,risk_difference,cluster_size,icc,design_effect,effective_n_per_arm,approx_power_cluster_adjusted
10,0.05,0.05,2,0.01,1.01,9.900990099009901,0.06279647670170976
10,0.05,0.05,2,0.05,1.05,9.523809523809524,0.061786193499889855
10,0.05,0.05,2,0.1,1.1,9.09090909090909,0.060617887327628
10,0.05,0.05,4,0.01,1.03,9.70873786407767,0.062282381290774895
10,0.05,0.05,4,0.05,1.15,8.695652173913045,0.05954230506660485
10,0.05,0.05,4,0.1,1.3,7.692307692307692,0.056768781788663576
10,0.05,0.05,8,0.01,1.07,9.345794392523365,0.06130694527027799
10,0.05,0.05,8,0.05,1.35,7.4074074074074066,0.055968472839617193
10,0.05,0.05,8,0.1,1.7000000000000002,5.88235294117647,0.05156414009698159
10,0.05,0.10000000000000002,2,0.01,1.01,9.900990099009901,0.11628861160637972
10,0.05,0.10000000000000002,2,0.05,1.05,9.523809523809524,0.11343083631316495
10,0.05,0.10000000000000002,2,0.1,1.1,9.09090909090909,0.1101444314623643
10,0.05,0.10000000000000002,4,0.01,1.03,9.70873786407767,0.11483259275802915
10,0.05,0.10000000000000002,4,0.05,1.15,8.695652173913045,0.10713697207906502
10,0.05,0.10000000000000002,4,0.1,1.3,7.692307692307692,0.0994669423667153
10,0.05,0.10000000000000002,8,0.01,1.07,9.345794392523365,0.11208030116773433
10,0.05,0.10000000000000002,8,0.05,1.35,7.4074074074074066,0.09727779765682534
10,0.05,0.10000000000000002,8,0.1,1.7000000000000002,5.88235294117647,0.08544169141008201
10,0.05,0.15000000000000002,2,0.01,1.01,9.900990099009901,0.1839854475819363
10,0.05,0.15000000000000002,2,0.05,1.05,9.523809523809524,0.17861369142281214
10,0.05,0.15000000000000002,2,0.1,1.1,9.09090909090909,0.17244271521848736
10,0.05,0.15000000000000002,4,0.01,1.03,9.70873786407767,0.1812479963157422
10,0.05,0.15000000000000002,4,0.05,1.15,8.695652173913045,0.16680308583614448
10,0.05,0.15000000000000002,4,0.1,1.3,7.692307692307692,0.15246351747398074
10,0.05,0.15000000000000002,8,0.01,1.07,9.345794392523365,0.17607682196624896
10,0.05,0.15000000000000002,8,0.05,1.35,7.4074074074074066,0.14838500674894212
10,0.05,0.15000000000000002,8,0.1,1.7000000000000002,5.88235294117647,0.12648392334186473
10,0.05,0.2,2,0.01,1.01,9.900990099009901,0.2632031011117738
10,0.05,0.2,2,0.05,1.05,9.523809523809524,0.25494378266689754
10,0.05,0.2,2,0.1,1.1,9.09090909090909,0.24543564290364367
10,0.05,0.2,4,0.01,1.03,9.70873786407767,0.2589962805846579
10,0.05,0.2,4,0.05,1.15,8.695652173913045,0.2367296069148555
10,0.05,0.2,4,0.1,1.3,7.692307692307692,0.21453707515734988
10,0.05,0.2,8,0.01,1.07,9.345794392523365,0.2510374719076313
10,0.05,0.2,8,0.05,1.35,7.4074074074074066,0.20821429240326433
10,0.05,0.2,8,0.1,1.7000000000000002,5.88235294117647,0.17424053157393288
10,0.05,0.3,2,0.01,1.01,9.900990099009901,0.4417863270468095
10,0.05,0.3,2,0.05,1.05,9.523809523809524,0.4280580258003965
10,0.05,0.3,2,0.1,1.1,9.09090909090909,0.41207353983483935
10,0.05,0.3,4,0.01,1.03,9.70873786407767,0.43481239774582636
10,0.05,0.3,4,0.05,1.15,8.695652173913045,0.3972732854084197
10,0.05,0.3,4,0.1,1.3,7.692307692307692,0.3588752797223477
10,0.05,0.3,8,0.01,1.07,9.345794392523365,0.4215140417915204
10,0.05,0.3,8,0.05,1.35,7.4074074074074066,0.3477700729460701
10,0.05,0.3,8,0.1,1.7000000000000002,5.88235294117647,0.28701757411980144
10,0.1,0.05000000000000002,2,0.01,1.01,9.900990099009901,0.052402103346373394
10,0.1,0.05000000000000002,2,0.05,1.05,9.523809523809524,0.0517098802997757
10,0.1,0.05000000000000002,2,0.1,1.1,9.09090909090909,0.050907556235205514
10,0.1,0.05000000000000002,4,0.01,1.03,9.70873786407767,0.052050037289496615
10,0.1,0.05000000000000002,4,0.05,1.15,8.695652173913045,0.05016712523596906
10,0.1,0.05000000000000002,4,0.1,1.3,7.692307692307692,0.04824956602849983
10,0.1,0.05000000000000002,8,0.01,1.07,9.345794392523365,0.051381001015974696
10,0.1,0.05000000000000002,8,0.05,1.35,7.4074074074074066,0.04769393575520248
10,0.1,0.05000000000000002,8,0.1,1.7000000000000002,5.88235294117647,0.04461612746724988
10,0.1,0.1,2,0.01,1.01,9.900990099009901,0.0920014772607205
10,0.1,0.1,2,0.05,1.05,9.523809523809524,0.0900130840126416
10,0.1,0.1,2,0.1,1.1,9.09090909090909,0.08772265286183513
10,0.1,0.1,4,0.01,1.03,9.70873786407767,0.09098877406702124
10,0.1,0.1,4,0.05,1.15,8.695652173913045,0.08562280682826429
10,0.1,0.1,4,0.1,1.3,7.692307692307692,0.08024910260912911
10,0.1,0.1,8,0.01,1.07,9.345794392523365,0.08907234887005715
