n_per_arm,baseline_callback_rate,target_power,alpha,positive_mde
10,0.05,0.8,0.05,0.5163722542718753
10,0.1,0.8,0.05,0.5599442401460484
10,0.2,0.8,0.05,0.5861901988482483
10,0.3,0.8,0.05,0.5727851376086803
40,0.05,0.8,0.05,0.21322543751103007
40,0.1,0.8,0.05,0.2518378867396669
40,0.2,0.8,0.05,0.29147660808641584
40,0.3,0.8,0.05,0.30664276976171917
80,0.05,0.8,0.05,0.13684921286805418
80,0.1,0.8,0.05,0.167194141146464
80,0.2,0.8,0.05,0.20040485117865348
80,0.3,0.8,0.05,0.21572374286850632
150,0.05,0.8,0.05,0.0926236931114401
150,0.1,0.8,0.05,0.11611430506604364
150,0.2,0.8,0.05,0.14271581183101872
150,0.3,0.8,0.05,0.15604797645372698
250,0.05,0.8,0.05,0.06809741981547378
250,0.1,0.8,0.05,0.08688280589027841
250,0.2,0.8,0.05,0.10855637190737233
250,0.3,0.8,0.05,0.11987918252459578
