n_per_arm,baseline_callback_rate,risk_difference,residue_on_rate,alpha,approx_power
10,0.05,0.05,0.1,0.05,0.06306056308845444
10,0.05,0.10000000000000002,0.15000000000000002,0.05,0.11703798644946221
10,0.05,0.15000000000000002,0.2,0.05,0.18539475939440342
10,0.05,0.2,0.25,0.05,0.2653670856904745
10,0.05,0.3,0.35,0.05,0.44535861314664243
10,0.1,0.05000000000000002,0.15000000000000002,0.05,0.052582812940633786
10,0.1,0.1,0.2,0.05,0.09252239704834916
10,0.1,0.15,0.25,0.05,0.1451938944747496
10,0.1,0.20000000000000004,0.30000000000000004,0.05,0.20993451613477151
10,0.1,0.30000000000000004,0.4,0.05,0.36816442960600815
10,0.2,0.04999999999999999,0.25,0.05,0.04533688659235469
10,0.2,0.10000000000000003,0.30000000000000004,0.05,0.07475965965090427
10,0.2,0.14999999999999997,0.35,0.05,0.11461102360802089
10,0.2,0.2,0.4,0.05,0.1656990162190997
10,0.2,0.3,0.5,0.05,0.3011653567558044
10,0.3,0.04999999999999999,0.35,0.05,0.0426165365521841
10,0.3,0.10000000000000003,0.4,0.05,0.06810760325362364
10,0.3,0.14999999999999997,0.44999999999999996,0.05,0.10315710275104313
10,0.3,0.2,0.5,0.05,0.14922005245965422
10,0.3,0.3,0.6,0.05,0.27775144017896974
40,0.05,0.05,0.1,0.05,0.13584199790522036
40,0.05,0.10000000000000002,0.15000000000000002,0.05,0.3372845507177149
40,0.05,0.15000000000000002,0.2,0.05,0.5674843458336671
40,0.05,0.2,0.25,0.05,0.7599658186660183
40,0.05,0.3,0.35,0.05,0.9540221645357879
40,0.1,0.05000000000000002,0.15000000000000002,0.05,0.10015713339539653
40,0.1,0.1,0.2,0.05,0.24484620075951877
40,0.1,0.15,0.25,0.05,0.4385767671883118
40,0.1,0.20000000000000004,0.30000000000000004,0.05,0.635579254181038
40,0.1,0.30000000000000004,0.4,0.05,0.900870277475118
40,0.2,0.04999999999999999,0.25,0.05,0.0772602308117727
40,0.2,0.10000000000000003,0.30000000000000004,0.05,0.1781342221956597
40,0.2,0.14999999999999997,0.35,0.05,0.32824424869980884
40,0.2,0.2,0.4,0.05,0.5069254751367052
40,0.2,0.3,0.5,0.05,0.8206540380733275
40,0.3,0.04999999999999999,0.35,0.05,0.06913933065940384
40,0.3,0.10000000000000003,0.4,0.05,0.1538394043283075
40,0.3,0.14999999999999997,0.44999999999999996,0.05,0.2851645009531722
40,0.3,0.2,0.5,0.05,0.452398147739714
40,0.3,0.3,0.6,0.05,0.782567960584442
80,0.05,0.05,0.1,0.05,0.22884691165013862
80,0.05,0.10000000000000002,0.15000000000000002,0.05,0.5862994285999901
80,0.05,0.15000000000000002,0.2,0.05,0.8536511224814282
80,0.05,0.2,0.25,0.05,0.9648947958817238
80,0.05,0.3,0.35,0.05,0.9993009298852829
80,0.1,0.05000000000000002,0.15000000000000002,0.05,0.15882991269589755
80,0.1,0.1,0.2,0.05,0.43443561118632723
80,0.1,0.15,0.25,0.05,0.7234885550422212
80,0.1,0.20000000000000004,0.30000000000000004,0.05,0.9035597292946856
80,0.1,0.30000000000000004,0.4,0.05,0.9957466363612704
80,0.2,0.04999999999999999,0.25,0.05,0.11475247865916265
80,0.2,0.10000000000000003,0.30000000000000004,0.05,0.31108872775641416
80,0.2,0.14999999999999997,0.35,0.05,0.5725416834630026
80,0.2,0.2,0.4,0.05,0.7985336567195382
